"d_x","d_y","cs_x","cs_y"
4243,742.085388,4243,2500,
4244,742.085388,4244,2500,
4245,742.085388,4245,2500,
4246,743.085388,4246,2450,
4247,743.085388,4247,2500,
4248,743.085388,4248,2500,
4249,744.085388,4249,2450,
4250,745.085388,4250,2450,
4251,747.085388,4251,2450,
4252,748.085388,4252,2450,
4253,749.085388,4253,2450,
4254,749.085388,4254,2500,
4255,749.085388,4255,2500,
4256,750.085388,4256,2500,
4257,751.085388,4257,2450,
4258,751.085388,4258,2500,
4259,751.085388,4259,2500,
4260,751.085388,4260,2500,
4261,751.085388,4261,2500,
4262,752.085388,4262,2450,
4263,751.085388,4263,2550,
4264,751.085388,4264,2500,
4265,750.085388,4265,2550,
4266,749.085388,4266,2500,
4267,748.085388,4267,2550,
4268,747.085388,4268,2550,
4269,746.085388,4269,2550,
4270,746.085388,4270,2500,
4271,746.085388,4271,2500,
4272,746.085388,4272,2500,
4273,747.085388,4273,2500,
4274,748.085388,4274,2450,
4275,748.085388,4275,2500,
4276,749.085388,4276,2500,
4277,751.008484,4277,2500,
4278,753.893127,4278,2550,
4279,754.854675,4279,2550,
4280,756.777771,4280,2500,
4281,760.623962,4281,2550,
4282,762.547058,4282,2500,
4283,764.470154,4283,2550,
4284,765.431702,4284,2550,
4285,766.39325,4285,2550,
4286,767.354797,4286,2550,
4287,767.354797,4287,2600,
4288,767.354797,4288,2600,
4289,767.354797,4289,2600,
4290,767.354797,4290,2600,
4291,766.39325,4291,2600,
4292,767.354797,4292,2550,
4293,767.354797,4293,2600,
4294,767.354797,4294,2600,
4295,767.354797,4295,2600,
4296,769.277893,4296,2550,
4297,769.277893,4297,2600,
4298,770.239441,4298,2600,
4299,771.200989,4299,2550,
4300,771.200989,4300,2600,
4301,771.200989,4301,2600,
4302,770.239441,4302,2650,
4303,771.200989,4303,2550,
4304,772.162537,4304,2550,
4305,772.162537,4305,2600,
4306,773.124084,4306,2600,
4307,773.124084,4307,2600,
4308,772.162537,4308,2650,
4309,772.162537,4309,2600,
4310,772.162537,4310,2600,
4311,771.200989,4311,2650,
4312,771.200989,4312,2600,
4313,771.200989,4313,2600,
4314,771.200989,4314,2600,
4315,771.200989,4315,2600,
4316,769.277893,4316,2650,
4317,769.277893,4317,2600,
4318,769.277893,4318,2600,
4319,769.277893,4319,2600,
4320,770.239441,4320,2550,
4321,773.017212,4321,2550,
4322,775.794983,4322,2550,
4323,780.424622,4323,2600,
4324,781.350525,4324,2650,
4325,782.276428,4325,2650,
4326,785.054199,4326,2650,
4327,785.980103,4327,2650,
4328,788.757874,4328,2650,
4329,789.683777,4329,2650,
4330,790.60968,4330,2650,
4331,791.535583,4331,2650,
4332,791.535583,4332,2700,
4333,792.461487,4333,2700,
4334,793.38739,4334,2650,
4335,793.38739,4335,2700,
4336,792.461487,4336,2750,
4337,792.461487,4337,2700,
4338,792.461487,4338,2700,
4339,792.461487,4339,2700,
4340,792.461487,4340,2700,
4341,793.38739,4341,2650,
4342,794.313293,4342,2650,
4343,797.091064,4343,2650,
4344,797.091064,4344,2700,
4345,797.091064,4345,2700,
4346,798.016968,4346,2700,
4347,797.091064,4347,2750,
4348,797.091064,4348,2700,
4349,798.016968,4349,2650,
4350,798.942871,4350,2650,
4351,799.868774,4351,2650,
4352,799.868774,4352,2700,
4353,799.868774,4353,2700,
4354,799.868774,4354,2700,
4355,799.868774,4355,2700,
4356,798.942871,4356,2750,
4357,798.016968,4357,2750,
4358,797.091064,4358,2750,
4359,797.091064,4359,2700,
4360,797.091064,4360,2700,
4361,796.165161,4361,2750,
4362,797.091064,4362,2650,
4363,797.091064,4363,2650,
4364,797.091064,4364,2700,
4365,798.016968,4365,2650,
4366,799.802673,4366,2700,
4367,802.481262,4367,2650,
4368,806.052673,4368,2700,
4369,806.945557,4369,2750,
4370,807.83844,4370,2750,
4371,811.409851,4371,2700,
4372,812.302734,4372,2750,
4373,814.981323,4373,2750,
4374,815.874207,4374,2750,
4375,815.874207,4375,2800,
4376,816.76709,4376,2800,
4377,816.76709,4377,2800,
4378,816.76709,4378,2800,
4379,817.659973,4379,2750,
4380,817.659973,4380,2800,
4381,817.659973,4381,2800,
4382,817.659973,4382,2800,
4383,817.659973,4383,2800,
4384,817.659973,4384,2800,
4385,817.659973,4385,2800,
4386,818.552856,4386,2800,
4387,819.44574,4387,2750,
4388,821.231506,4388,2750,
4389,822.12439,4389,2750,
4390,822.12439,4390,2800,
4391,821.231506,4391,2850,
4392,821.231506,4392,2800,
4393,821.231506,4393,2800,
4394,822.12439,4394,2750,
4395,822.12439,4395,2800,
4396,822.12439,4396,2800,
4397,822.12439,4397,2800,
4398,822.12439,4398,2800,
4399,822.12439,4399,2800,
